,movies,rating,year,country,genr,director,actor
221,彗星来的那一夜,8.5,2013,美国 英国,科幻 悬疑 惊悚, 詹姆斯·沃德·布柯特 James Ward Byrkit, 艾米丽·芭尔多尼 Em...
222,血钻,8.6,2006,美国 德国,剧情 惊悚 冒险, 爱德华·兹威克 Edward Zwick, 莱昂纳多·迪卡普里奥 Leonardo ...
223,2001太空漫游,8.7,1968,英国 美国,科幻 惊悚 冒险, 斯坦利·库布里克 Stanley Kubrick, 凯尔·杜拉 Keir Dullea / ...
224,这个男人来自地球,8.5,2007,美国,剧情 科幻, 理查德·沙因克曼 Richard Schenkman, 大卫·李·史密斯 David ...
225,E.T. 外星人,8.5,1982,美国,剧情 科幻, Steven Spielberg, Henry Thomas / Dee Wallace / Robert MacNa...
226,末路狂花,8.7,1991,美国 法国,犯罪 剧情 惊悚, 雷德利·斯科特 Ridley Scott, 吉娜·戴维斯 Geena Davis / 苏...
227,聚焦,8.8,2015,美国,剧情 传记, 托马斯·麦卡锡 Thomas McCarthy, 马克·鲁弗洛 Mark Ruffalo /...
228,功夫,8.3,2004,中国大陆 香港,动作 喜剧 犯罪 奇幻, 周星驰 Stephen Chow, 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...
229,勇闯夺命岛,8.6,1996,美国,动作 冒险, 迈克尔·贝 Michael Bay, 肖恩·康纳利 Sean Connery / 尼古拉...
230,变脸,8.4,1997,美国,动作 科幻 犯罪 惊悚, 吴宇森 John Woo, 约翰·特拉沃尔塔 John Travolta / 尼古拉斯...
231,发条橙,8.5,1971,英国 美国,犯罪 剧情 科幻, Stanley Kubrick, Malcolm McDowell / Patrick Magee / Michael...
232,黄金三镖客,9.1,1966,意大利 西班牙 西德,冒险 西部, Sergio Leone, Clint Eastwood / Eli Wallach / Lee Van Cleef
233,黑鹰坠落,8.6,2001,美国,动作 历史 战争, 雷德利·斯科特 Ridley Scott, 乔什·哈奈特 Josh Hartnett / ...
